"filename", "language", "YAML", "CMake", "comment", "blank", "total"
"/root/SW_ARM_DPDK/PcapPlusPlus/3rdParty/MemPlumber/MemPlumber/appveyor.yml", "YAML", -1, 0, 1, 0, 0
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/.clang-format", "YAML", -46, 0, 0, -2, -48
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/.travis.yml", "YAML", -34, 0, 0, -4, -38
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/appveyor.yml", "YAML", -25, 0, 0, -4, -29
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/docs/_config.yml", "YAML", -1, 0, 0, 0, -1
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/test/gtest-1.10.0/.clang-format", "YAML", -4, 0, 0, -1, -5
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/test/gtest-1.10.0/.travis.yml", "YAML", -67, 0, 0, -7, -74
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/test/gtest-1.10.0/appveyor.yml", "YAML", -134, 0, 0, -21, -155
"/root/SW_ARM_DPDK/yaml-cpp-yaml-cpp-0.7.0/test/gtest-1.10.0/googletest/cmake/internal_utils.cmake", "CMake", 0, -337, 0, -22, -359
"Total", "-", -312, -337, 1, -61, -709
